,Unnamed: 0,file,case,framenumber,class
29539,29539,51010_sessie3_taskrobotEngagement,invisible,0,4
29540,29540,51010_sessie3_taskrobotEngagement,invisible,1,4
29541,29541,51010_sessie3_taskrobotEngagement,invisible,2,4
29542,29542,51010_sessie3_taskrobotEngagement,invisible,3,4
29543,29543,51010_sessie3_taskrobotEngagement,invisible,4,4
29544,29544,51010_sessie3_taskrobotEngagement,invisible,5,4
29545,29545,51010_sessie3_taskrobotEngagement,invisible,6,4
29546,29546,51010_sessie3_taskrobotEngagement,invisible,7,4
29547,29547,51010_sessie3_taskrobotEngagement,invisible,8,4
29548,29548,51010_sessie3_taskrobotEngagement,invisible,9,4
29549,29549,51010_sessie3_taskrobotEngagement,invisible,10,4
29550,29550,51010_sessie3_taskrobotEngagement,invisible,11,4
29551,29551,51010_sessie3_taskrobotEngagement,invisible,12,4
29552,29552,51010_sessie3_taskrobotEngagement,invisible,13,4
29553,29553,51010_sessie3_taskrobotEngagement,invisible,14,4
29554,29554,51010_sessie3_taskrobotEngagement,invisible,15,4
29555,29555,51010_sessie3_taskrobotEngagement,invisible,16,4
29556,29556,51010_sessie3_taskrobotEngagement,invisible,17,4
29557,29557,51010_sessie3_taskrobotEngagement,invisible,18,4
29558,29558,51010_sessie3_taskrobotEngagement,invisible,19,4
29559,29559,51010_sessie3_taskrobotEngagement,invisible,20,4
29560,29560,51010_sessie3_taskrobotEngagement,invisible,21,4
29561,29561,51010_sessie3_taskrobotEngagement,invisible,22,4
29562,29562,51010_sessie3_taskrobotEngagement,invisible,23,4
29563,29563,51010_sessie3_taskrobotEngagement,invisible,24,4
29564,29564,51010_sessie3_taskrobotEngagement,invisible,25,4
29565,29565,51010_sessie3_taskrobotEngagement,invisible,26,4
29566,29566,51010_sessie3_taskrobotEngagement,invisible,27,4
29567,29567,51010_sessie3_taskrobotEngagement,invisible,28,4
29568,29568,51010_sessie3_taskrobotEngagement,invisible,29,4
29569,29569,51010_sessie3_taskrobotEngagement,invisible,30,4
29570,29570,51010_sessie3_taskrobotEngagement,invisible,31,4
29571,29571,51010_sessie3_taskrobotEngagement,invisible,32,4
29572,29572,51010_sessie3_taskrobotEngagement,invisible,33,4
29573,29573,51010_sessie3_taskrobotEngagement,invisible,34,4
29574,29574,51010_sessie3_taskrobotEngagement,invisible,35,4
29575,29575,51010_sessie3_taskrobotEngagement,invisible,36,4
29576,29576,51010_sessie3_taskrobotEngagement,invisible,37,4
29577,29577,51010_sessie3_taskrobotEngagement,invisible,38,4
29578,29578,51010_sessie3_taskrobotEngagement,invisible,39,4
29579,29579,51010_sessie3_taskrobotEngagement,invisible,40,4
29580,29580,51010_sessie3_taskrobotEngagement,invisible,41,4
29581,29581,51010_sessie3_taskrobotEngagement,invisible,42,4
29582,29582,51010_sessie3_taskrobotEngagement,invisible,43,4
29583,29583,51010_sessie3_taskrobotEngagement,invisible,44,4
29584,29584,51010_sessie3_taskrobotEngagement,invisible,45,4
29585,29585,51010_sessie3_taskrobotEngagement,invisible,46,4
29586,29586,51010_sessie3_taskrobotEngagement,invisible,47,4
29587,29587,51010_sessie3_taskrobotEngagement,invisible,48,4
29588,29588,51010_sessie3_taskrobotEngagement,invisible,49,4
29589,29589,51010_sessie3_taskrobotEngagement,invisible,50,4
29590,29590,51010_sessie3_taskrobotEngagement,invisible,51,4
29591,29591,51010_sessie3_taskrobotEngagement,invisible,52,4
29592,29592,51010_sessie3_taskrobotEngagement,invisible,53,4
29593,29593,51010_sessie3_taskrobotEngagement,invisible,54,4
29594,29594,51010_sessie3_taskrobotEngagement,invisible,55,4
29595,29595,51010_sessie3_taskrobotEngagement,invisible,56,4
29596,29596,51010_sessie3_taskrobotEngagement,invisible,57,4
29597,29597,51010_sessie3_taskrobotEngagement,invisible,58,4
29598,29598,51010_sessie3_taskrobotEngagement,invisible,59,4
29599,29599,51010_sessie3_taskrobotEngagement,invisible,60,4
29600,29600,51010_sessie3_taskrobotEngagement,invisible,61,4
29601,29601,51010_sessie3_taskrobotEngagement,invisible,62,4
